"cliente.idcliente","cliente.nombrecliente","cliente.direccion","cliente.estado","cliente.nacimiento","ctacliente.numcta","cuenta.numsucursal","cuenta.saldo","cuenta.fecha"
"94","GERMÁN AGUILAR MÉNDEZ","PUERTO MARQUEZ NUM. 395","PUEBLA","Tue Sep 13 1960 00:00:00 GMT-0600 (hora de verano central)","C-00094","142","12331.04","Sun Nov 23 2014 00:00:00 GMT-0600 (hora estándar central)"
"99","VIDAL RODRÍGUEZ DURÁN","CRISTOBAL COLON MZNA 125","GUERRERO","Wed Mar 01 1967 00:00:00 GMT-0600 (hora estándar central)","C-00099","74","38232.68","Sat Oct 26 2013 00:00:00 GMT-0500 (hora de verano central)"
"100","ANNA VEGA FLORES","MORELOS NO. 609","TABASCO","Wed Dec 03 1969 00:00:00 GMT-0600 (hora estándar central)","C-00100","85","38593.79","Sat Mar 08 2014 00:00:00 GMT-0600 (hora estándar central)"
"107","BONIFACIO PASCUAL BENÍTEZ","JUAREZ NO. 151","NUEVO LEÓN","Tue Mar 07 1961 00:00:00 GMT-0600 (hora estándar central)","C-00107","154","137739.67","Sat Apr 14 2012 00:00:00 GMT-0500 (hora de verano central)"
"121","PURIFICACIÓN CORTÉS SANTANA","HEMICICLO A JUAREZ NO. 94","GUERRERO","Tue Oct 09 1962 00:00:00 GMT-0600 (hora de verano central)","C-00121","142","131533.45","Sat Feb 02 2013 00:00:00 GMT-0600 (hora estándar central)"
"131","ÁNGELA ESTEBAN CALVO","JOSEFA ORTIZ DE DOMINGUEZ MANZANA 629","MORELOS","Mon Jan 07 1980 00:00:00 GMT-0600 (hora estándar central)","C-00131","4","4276.06","Thu Mar 07 2013 00:00:00 GMT-0600 (hora estándar central)"
"142","JERÓNIMO ARIAS LORENZO","PERU NUM. 127","CAMPECHE","Mon Feb 20 1995 00:00:00 GMT-0600 (hora estándar central)","C-00142","141","121846.99","Thu Jan 12 2012 00:00:00 GMT-0600 (hora estándar central)"
"145","ONÉSIMO CALVO JIMÉNEZ","MUNICIPIO LIBRE NUM. 479","AGUASCALIENTES","Tue Dec 13 1994 00:00:00 GMT-0600 (hora estándar central)","C-00145","16","34033.22","Sat Feb 22 2014 00:00:00 GMT-0600 (hora estándar central)"
"168","JESÚS LEÓN CAMBIL","ANDADOR 16 MANZANA 523","NUEVO LEÓN","Wed Feb 16 1977 00:00:00 GMT-0600 (hora estándar central)","C-00168","101","96331.8","Fri Jan 17 2014 00:00:00 GMT-0600 (hora estándar central)"
"171","MIQUEAS MORENO CRESPO","TEPETONGO MZNA 496","TAMAULIPAS","Mon Mar 10 1980 00:00:00 GMT-0600 (hora estándar central)","C-00171","64","35196.3","Thu Feb 23 2012 00:00:00 GMT-0600 (hora estándar central)"
"173","ROMUALDO ROMÁN NIETO","LABORISTAS NO. 434","MICHOACÁN","Wed Aug 21 1991 00:00:00 GMT-0600 (hora estándar central)","C-00173","37","142253.14","Thu Oct 02 2014 00:00:00 GMT-0500 (hora de verano central)"
"189","FRANCISCO DURÁN CABALLERO","MONTE DE PIEDAD NÚMERO 611","SONORA","Tue Sep 11 1962 00:00:00 GMT-0600 (hora de verano central)","C-00189","119","8030.21","Sun Mar 11 2012 00:00:00 GMT-0600 (hora estándar central)"
"191","TOMAS PRIETO PRIETO","VILLA DE LAS FLORES NO. 325","CDMX","Tue Apr 08 1969 00:00:00 GMT-0600 (hora de verano central)","C-00191","70","15758.24","Fri Aug 23 2013 00:00:00 GMT-0500 (hora de verano central)"
"194","HÉCTOR NAVARRO LEÓN","OBRERO MUNDIAL NÚMERO 684","CDMX","Sat Dec 14 1991 00:00:00 GMT-0600 (hora estándar central)","C-00194","141","63353.09","Sun Nov 11 2012 00:00:00 GMT-0600 (hora estándar central)"
"202","ALMUDENA MOLINA VELASCO","ARTEMISAS NUM. 435","SONORA","Wed Jan 04 1978 00:00:00 GMT-0600 (hora estándar central)","C-00202","74","7046.89","Thu Feb 09 2012 00:00:00 GMT-0600 (hora estándar central)"
"218","HELIODORO PÉREZ ORTEGA","CALLE 5 DE FEBRERO NÚMERO 571","TAMAULIPAS","Mon Jun 22 1987 00:00:00 GMT-0600 (hora estándar central)","C-00218","125","144303.92","Sun Jul 14 2013 00:00:00 GMT-0500 (hora de verano central)"
"231","EPIFANÍA GALLARDO HERRERA","MIERES NÚMERO 332","QUINTANA ROO","Wed Nov 09 1966 00:00:00 GMT-0600 (hora estándar central)","C-00231","73","43504.21","Wed Aug 13 2014 00:00:00 GMT-0500 (hora de verano central)"
"234","SEGISMUNDO PRIETO MONTORO","JAVIER MARTINEZ NUM. 317","QUINTANA ROO","Wed Feb 22 1984 00:00:00 GMT-0600 (hora estándar central)","C-00234","70","103923","Mon Nov 24 2014 00:00:00 GMT-0600 (hora estándar central)"
"239","RUPERTO MONTORO BLANCO","VERIN NÚMERO 509","VERACRUZ","Mon Oct 20 1986 00:00:00 GMT-0600 (hora estándar central)","C-00239","101","10395.67","Wed Sep 12 2012 00:00:00 GMT-0500 (hora de verano central)"
"242","VALENTÍN PARRA ROMÁN","PIEDRAS NEGRAS NUM. 762","OAXACA","Wed Mar 26 1980 00:00:00 GMT-0600 (hora estándar central)","C-00242","142","130031.9","Wed Dec 26 2012 00:00:00 GMT-0600 (hora estándar central)"
"245","DOMINGO HIDALGO MONTORO","NULL NÚMERO 429","ZACATECAS","Sun Mar 26 1972 00:00:00 GMT-0600 (hora estándar central)","C-00245","152","148313.77","Wed Dec 10 2014 00:00:00 GMT-0600 (hora estándar central)"
"246","BENEDICTO DURÁN LEÓN","RODOLFO FIERRO NUM. 342","SONORA","Wed Apr 28 1993 00:00:00 GMT-0600 (hora estándar central)","C-00246","23","89117.38","Thu Mar 14 2013 00:00:00 GMT-0600 (hora estándar central)"
"260","SANTIAGO GALLEGO CABALLERO","JAIME NUNO MZNA 154","DURANGO","Sat Sep 12 1992 00:00:00 GMT-0600 (hora estándar central)","C-00260","141","40026.36","Fri May 04 2012 00:00:00 GMT-0500 (hora de verano central)"
"262","CELINA MARTÍNEZ ARIAS","REPUBLICA DE CHILE MZNA 612","CAMPECHE","Sat Feb 18 1967 00:00:00 GMT-0600 (hora estándar central)","C-00262","154","34454.66","Tue Jun 25 2013 00:00:00 GMT-0500 (hora de verano central)"
"264","DIEGO JIMÉNEZ RUBIO","PALMIRA MANZANA 110","SINALOA","Mon May 19 1980 00:00:00 GMT-0600 (hora estándar central)","C-00264","89","28089.49","Mon Apr 08 2013 00:00:00 GMT-0500 (hora de verano central)"
"272","MATILDE MARTÍN IGLESIAS","CDA QUINTANA ROO NUM. 277","ESTADO DE MÉXICO","Sat Jul 11 1959 00:00:00 GMT-0600 (hora de verano central)","C-00272","142","50099.37","Mon Nov 11 2013 00:00:00 GMT-0600 (hora estándar central)"
"274","NIEVES CALVO VICENTE","CDA DE MINAS MANZANA 306","TLAXCALA","Wed May 16 1990 00:00:00 GMT-0600 (hora estándar central)","C-00274","169","15512.9","Thu Mar 27 2014 00:00:00 GMT-0600 (hora estándar central)"
"280","ADELAIDA ROMÁN MOYA","CANAL SECO NO. 748","QUINTANA ROO","Sat Oct 02 1971 00:00:00 GMT-0600 (hora estándar central)","C-00280","146","25530.18","Sun Dec 09 2012 00:00:00 GMT-0600 (hora estándar central)"
"287","BLANCA MÁRQUEZ PASTOR","ROSAL NUM. 590","VERACRUZ","Wed Jan 03 1968 00:00:00 GMT-0600 (hora estándar central)","C-00287","142","54039.74","Sun May 05 2013 00:00:00 GMT-0500 (hora de verano central)"
"288","ALICIA ALONSO BENÍTEZ","ORIENTE NUM. 288","PUEBLA","Thu Jul 11 1985 00:00:00 GMT-0600 (hora estándar central)","C-00288","22","63789.81","Fri Nov 01 2013 00:00:00 GMT-0600 (hora estándar central)"
"292","HUMBERTO FERRER MONTERO","PLAN DE ATOTONILCO MZNA 699","COAHUILA","Wed Nov 06 1968 00:00:00 GMT-0600 (hora estándar central)","C-00292","64","12275.02","Sun Aug 19 2012 00:00:00 GMT-0500 (hora de verano central)"
"294","ASCENSIÓN MARTÍNEZ HERNÁNDEZ","CIPRES MZNA 585","TLAXCALA","Fri Nov 10 1989 00:00:00 GMT-0600 (hora estándar central)","C-00294","20","142390.4","Wed Apr 04 2012 00:00:00 GMT-0500 (hora de verano central)"
"311","AITOR GIMÉNEZ FUENTES","PROL DE GUADALUPE Y RAMIREZ NÚMERO 483","QUERÉTARO","Sat Mar 12 1983 00:00:00 GMT-0600 (hora estándar central)","C-00311","64","9706.76","Tue Nov 18 2014 00:00:00 GMT-0600 (hora estándar central)"
"313","SIMÓN VIDAL CABRERA","OBRERO MUNDIAL MANZANA 408","CDMX","Mon Apr 15 1974 00:00:00 GMT-0600 (hora estándar central)","C-00313","4","90069.79","Sun May 06 2012 00:00:00 GMT-0500 (hora de verano central)"
"323","CONSUELO PASCUAL MONTERO","CERRADA DE LA ROMERIA NUM. 643","QUINTANA ROO","Sun Jan 26 1992 00:00:00 GMT-0600 (hora estándar central)","C-00323","152","14904.77","Mon Jul 08 2013 00:00:00 GMT-0500 (hora de verano central)"
"328","AURELIANO MARTÍNEZ PRIETO","TENTEL MZNA 81","OAXACA","Fri Jul 26 1957 00:00:00 GMT-0600 (hora de verano central)","C-00328","141","69001.2","Mon Mar 05 2012 00:00:00 GMT-0600 (hora estándar central)"
"336","SALOMÉ PARRA DURÁN","TEMALACA NO. 49","MORELOS","Sat Apr 02 1960 00:00:00 GMT-0600 (hora estándar central)","C-00336","165","126948.22","Mon Nov 17 2014 00:00:00 GMT-0600 (hora estándar central)"
"339","NATIVIDAD SUÁREZ AGUILAR","VICENTE GUERRERO NÚMERO 722","OAXACA","Fri Mar 21 1958 00:00:00 GMT-0600 (hora estándar central)","C-00339","169","95090.31","Wed Jul 17 2013 00:00:00 GMT-0500 (hora de verano central)"
"364","EZEQUIEL MÉNDEZ MOLINA","HEROES DE NACOZARI MZNA 26","VERACRUZ","Mon Mar 15 1993 00:00:00 GMT-0600 (hora estándar central)","C-00364","148","97461.29","Sat Mar 02 2013 00:00:00 GMT-0600 (hora estándar central)"
"369","TEODORA AGUILAR MORALES","PIEDRA CALIZA MZNA 93","TABASCO","Tue Feb 12 1963 00:00:00 GMT-0600 (hora estándar central)","C-00369","25","144556.5","Sat Nov 10 2012 00:00:00 GMT-0600 (hora estándar central)"
"370","GUZMÁN CAMBIL PRIETO","JUAN ZAIZAR MANZANA 708","PUEBLA","Sat Jul 18 1987 00:00:00 GMT-0600 (hora estándar central)","C-00370","101","146254.23","Thu Feb 27 2014 00:00:00 GMT-0600 (hora estándar central)"
"377","AURELIANO NAVARRO CRUZ","PERUANOS MANZANA 239","ESTADO DE MÉXICO","Mon Aug 08 1955 00:00:00 GMT-0600 (hora de verano central)","C-00377","70","100699.88","Sat Jul 26 2014 00:00:00 GMT-0500 (hora de verano central)"
"381","MARCELO HERRERO CARMONA","HACIENDA DE PEÑUELAS MANZANA 454","NUEVO LEÓN","Mon Oct 23 1967 00:00:00 GMT-0600 (hora de verano central)","C-00381","66","122811.76","Sun May 12 2013 00:00:00 GMT-0500 (hora de verano central)"
"386","OSCAR HERRERA SÁEZ","HORACIO NELSON NO. 299","ZACATECAS","Sun Dec 19 1971 00:00:00 GMT-0600 (hora estándar central)","C-00386","16","127271.44","Tue Apr 03 2012 00:00:00 GMT-0500 (hora de verano central)"
"389","ERNESTO ORTIZ CASTILLO","PROL. LUCAS ALAMAN NO. 466","DURANGO","Sun May 03 1959 00:00:00 GMT-0600 (hora de verano central)","C-00389","68","46952.3","Thu Aug 15 2013 00:00:00 GMT-0500 (hora de verano central)"
"392","PABLO PASTOR BENÍTEZ","LAGO GARDA MZNA 237","GUANAJUATO","Tue Jan 10 1956 00:00:00 GMT-0600 (hora estándar central)","C-00392","51","93273.49","Mon Nov 17 2014 00:00:00 GMT-0600 (hora estándar central)"
"394","HÉCTOR CABRERA VÁZQUEZ","SALTO DEL AGUA NÚMERO 14","JALISCO","Mon Mar 09 1964 00:00:00 GMT-0600 (hora estándar central)","C-00394","34","54791.82","Thu Apr 17 2014 00:00:00 GMT-0500 (hora de verano central)"
"399","CLEOFÁS MORA RAMÍREZ","STA. CLARA II MZNA 273","OAXACA","Mon May 13 1968 00:00:00 GMT-0600 (hora de verano central)","C-00399","148","93735.57","Wed Mar 26 2014 00:00:00 GMT-0600 (hora estándar central)"
"408","JOSEP DELGADO NAVARRO","MOCTEZUMA MZNA 525","NAYARIT","Tue Aug 12 1986 00:00:00 GMT-0600 (hora estándar central)","C-00408","4","108810.45","Mon Apr 15 2013 00:00:00 GMT-0500 (hora de verano central)"
"417","NURIA PRIETO RUBIO","FRESNOS MZNA 672","MORELOS","Tue Mar 16 1982 00:00:00 GMT-0600 (hora estándar central)","C-00417","89","17652.01","Fri Jul 11 2014 00:00:00 GMT-0500 (hora de verano central)"
"423","ANNA VELASCO ESTEBAN","LA VENTA CLAUSTRO TULIPANES MZNA 321","CHIAPAS","Wed Apr 13 1983 00:00:00 GMT-0600 (hora estándar central)","C-00423","37","51555.64","Fri Apr 18 2014 00:00:00 GMT-0500 (hora de verano central)"
"425","EUGENIO FERRER SANTANA","BUENA VISTA MZNA 331","TLAXCALA","Fri Jul 02 1971 00:00:00 GMT-0600 (hora estándar central)","C-00425","34","145067.77","Sun Mar 25 2012 00:00:00 GMT-0600 (hora estándar central)"
"430","OSEAS GALLEGO DÍAZ","EJIDO MAGDALENA PETLACALCO NÚMERO 709","MORELOS","Fri Mar 02 1979 00:00:00 GMT-0600 (hora estándar central)","C-00430","169","81973.43","Thu Dec 06 2012 00:00:00 GMT-0600 (hora estándar central)"
"434","AGUSTÍN DOMÍNGUEZ VARGAS","SAGITARIO NUM. 380","YUCATÁN","Sat Jun 12 1965 00:00:00 GMT-0600 (hora de verano central)","C-00434","66","68958","Thu Mar 06 2014 00:00:00 GMT-0600 (hora estándar central)"
"445","HOMERO CARRASCO SANTOS","CALLE PETIRROJO NUM. 137","MICHOACÁN","Fri Jun 10 1966 00:00:00 GMT-0600 (hora de verano central)","C-00445","4","134220.02","Sun Oct 05 2014 00:00:00 GMT-0500 (hora de verano central)"
"449","CIRO FERRER CARRASCO","HEMICICLO A JUAREZ NO. 800","OAXACA","Thu Apr 23 1987 00:00:00 GMT-0600 (hora estándar central)","C-00449","20","75616.71","Mon Jun 24 2013 00:00:00 GMT-0500 (hora de verano central)"
"460","ABRAHÁN GARRIDO GIL","U. HAB SAN PABLO XALPA MANZANA 256","SAN LUIS POTOSÍ","Sun Nov 03 1974 00:00:00 GMT-0600 (hora estándar central)","C-00459","16","2116.1","Fri Mar 07 2014 00:00:00 GMT-0600 (hora estándar central)"
"465","AARÓN VIDAL GARRIDO","SEBASTIAN L TEJADA MANZANA 284","QUERÉTARO","Thu Nov 17 1983 00:00:00 GMT-0600 (hora estándar central)","C-00464","64","132217.98","Mon Jun 02 2014 00:00:00 GMT-0500 (hora de verano central)"
"466","XAVIER CASTRO SÁNCHEZ","VIVEROS DE ASIS NO. 293","GUANAJUATO","Sat Aug 16 1980 00:00:00 GMT-0600 (hora estándar central)","C-00465","121","42444.64","Wed Jun 20 2012 00:00:00 GMT-0500 (hora de verano central)"
"469","VLADIMIRO RODRÍGUEZ SANTOS","VILLA DE LAS FLORES NO. 563","NAYARIT","Fri Nov 23 1984 00:00:00 GMT-0600 (hora estándar central)","C-00468","34","65187.18","Sun Sep 09 2012 00:00:00 GMT-0500 (hora de verano central)"
"473","ASCENSIÓN FLORES GARRIDO","GARDENIAS NO. 413","HIDALGO","Tue Oct 15 1991 00:00:00 GMT-0600 (hora estándar central)","C-00472","4","51365.69","Sun Feb 05 2012 00:00:00 GMT-0600 (hora estándar central)"
"474","MARCELO NAVARRO DURÁN","1RA CERRADA CAMINO NO. 222","NAYARIT","Sat May 23 1970 00:00:00 GMT-0600 (hora estándar central)","C-00473","73","131619.83","Thu Dec 27 2012 00:00:00 GMT-0600 (hora estándar central)"
"475","ARIADNA ORTEGA MOLINA","AV LAS TORRES MANZANA 251","SAN LUIS POTOSÍ","Fri Dec 19 1986 00:00:00 GMT-0600 (hora estándar central)","C-00474","51","76370.03","Mon Aug 05 2013 00:00:00 GMT-0500 (hora de verano central)"
"477","DANIEL SUÁREZ CABALLERO","FRANCISCO VILLA NUM. 189","TABASCO","Tue Apr 08 1958 00:00:00 GMT-0600 (hora de verano central)","C-00476","142","121239.36","Fri Jul 18 2014 00:00:00 GMT-0500 (hora de verano central)"
"482","BEATRIZ DOMÍNGUEZ LÓPEZ","VERIN NO. 152","SAN LUIS POTOSÍ","Mon Feb 25 1980 00:00:00 GMT-0600 (hora estándar central)","C-00481","70","75761.8","Mon Aug 27 2012 00:00:00 GMT-0500 (hora de verano central)"
"483","OTO CANO GIL","RETORNO ELIAS F. HURTADO MANZANA 236","SONORA","Sun Aug 12 1990 00:00:00 GMT-0600 (hora estándar central)","C-00482","85","126709.03","Sun Mar 30 2014 00:00:00 GMT-0600 (hora estándar central)"
"489","SEVERINO SÁEZ MUÑOZ","PRIV. DEL CEDRAL NO. 448","MICHOACÁN","Mon Feb 14 1977 00:00:00 GMT-0600 (hora estándar central)","C-00488","37","44587.24","Sun Jul 01 2012 00:00:00 GMT-0500 (hora de verano central)"
"491","RAÚL NIETO LÓPEZ","FRESA MANZANA 498","NUEVO LEÓN","Sat Feb 28 1970 00:00:00 GMT-0600 (hora estándar central)","C-00490","187","40399","Fri Jul 18 2014 00:00:00 GMT-0500 (hora de verano central)"
"492","CÁNDIDA SOTO GUTIÉRREZ","PARAJE MZNA 205","HIDALGO","Tue Apr 20 1993 00:00:00 GMT-0600 (hora estándar central)","C-00491","126","121466.37","Thu May 17 2012 00:00:00 GMT-0500 (hora de verano central)"
"494","ANSELMO LÓPEZ MORALES","AGUAJE NÚMERO 64","NUEVO LEÓN","Sat Aug 09 1958 00:00:00 GMT-0600 (hora de verano central)","C-00493","85","31382.6","Fri Oct 04 2013 00:00:00 GMT-0500 (hora de verano central)"
"495","ORIOL CAMPOS BLANCO","UN HAB FUENTES BROTANTES NÚMERO 603","NUEVO LEÓN","Sat Oct 03 1992 00:00:00 GMT-0600 (hora estándar central)","C-00494","16","128520.97","Tue Jul 09 2013 00:00:00 GMT-0500 (hora de verano central)"
"497","SUSANA LEÓN GONZÁLEZ","AMEZQUITE MANZANA 483","GUANAJUATO","Mon Jul 21 1958 00:00:00 GMT-0600 (hora de verano central)","C-00496","126","135734.47","Thu Sep 06 2012 00:00:00 GMT-0500 (hora de verano central)"
"499","LOURDES MEDINA MÉNDEZ","JUAN SANCHEZ AZCONA NO. 187","JALISCO","Tue Apr 27 1954 00:00:00 GMT-0600 (hora de verano central)","C-00498","20","39164.01","Wed Nov 14 2012 00:00:00 GMT-0600 (hora estándar central)"
"500","VIRGINIA TORRES DÍEZ","PLZAS. VILLA DE MADRID MANZANA 422","CDMX","Wed Nov 13 1957 00:00:00 GMT-0600 (hora estándar central)","C-00499","26","68356.41","Thu Nov 22 2012 00:00:00 GMT-0600 (hora estándar central)"
"508","MAXIMILIANO CARRASCO LEÓN","PRIVADA LIMONES NÚMERO 384","MORELOS","Thu Mar 05 1970 00:00:00 GMT-0600 (hora estándar central)","C-00507","89","111137.56","Thu Apr 18 2013 00:00:00 GMT-0500 (hora de verano central)"
"511","CATALINA VELASCO GONZÁLEZ","VILLA DE CUITLAHUAC MZNA 418","ZACATECAS","Wed Aug 03 1988 00:00:00 GMT-0600 (hora estándar central)","C-00510","187","109823.91","Sat May 17 2014 00:00:00 GMT-0500 (hora de verano central)"
"515","EPIFANÍA VARGAS VICENTE","JAMES MONROE NO. 615","QUINTANA ROO","Fri May 06 1955 00:00:00 GMT-0600 (hora de verano central)","C-00514","121","132520.92","Mon Mar 10 2014 00:00:00 GMT-0600 (hora estándar central)"
"524","MONTSERRAT RAMÍREZ NIETO","4A. CERRADA DE PEDRO MA. ANAYA MANZANA 530","SINALOA","Wed Jul 27 1994 00:00:00 GMT-0600 (hora estándar central)","C-00523","23","15783.25","Thu Sep 26 2013 00:00:00 GMT-0500 (hora de verano central)"
"526","FACUNDO CABALLERO PRIETO","GABRIEL RAMOS MILLAN MANZANA 62","CHIAPAS","Tue Jan 07 1964 00:00:00 GMT-0600 (hora estándar central)","C-00525","119","95783.68","Tue May 14 2013 00:00:00 GMT-0500 (hora de verano central)"
"535","MARCELO FUENTES DOMÍNGUEZ","SALTO DEL AGUA NO. 218","VERACRUZ","Sat Mar 06 1965 00:00:00 GMT-0600 (hora estándar central)","C-00534","20","117224.94","Sat Nov 15 2014 00:00:00 GMT-0600 (hora estándar central)"
"537","MARCOS ORTIZ CANO","PRIMERA CERRADA DE LAS ROSAS NÚMERO 763","CAMPECHE","Wed Jan 27 1971 00:00:00 GMT-0600 (hora estándar central)","C-00536","52","52879.8","Sat Jul 05 2014 00:00:00 GMT-0500 (hora de verano central)"
"539","ROGELIO ESTEBAN MARTÍN","PUERTO MARQUEZ NÚMERO 637","CDMX","Mon Dec 27 1976 00:00:00 GMT-0600 (hora estándar central)","C-00538","70","109221.54","Tue Mar 05 2013 00:00:00 GMT-0600 (hora estándar central)"
"540","TEODOSIA GARRIDO GIMÉNEZ","FRANCISCO SARABIA MANZANA 371","CAMPECHE","Sun Apr 11 1954 00:00:00 GMT-0600 (hora de verano central)","C-00539","34","40976.53","Fri May 17 2013 00:00:00 GMT-0500 (hora de verano central)"
"547","ROQUE PEÑA MARÍN","JAVIER MARTINEZ NO. 551","NUEVO LEÓN","Wed May 05 1954 00:00:00 GMT-0600 (hora de verano central)","C-00546","85","92780.1","Sat Oct 13 2012 00:00:00 GMT-0500 (hora de verano central)"
"556","ROSA GUERRERO CAMBIL","1A CERRADA DE CORREGIDORA NUM. 537","TAMAULIPAS","Wed Apr 22 1970 00:00:00 GMT-0600 (hora estándar central)","C-00555","121","140250.94","Thu Jun 27 2013 00:00:00 GMT-0500 (hora de verano central)"
"558","BELÉN GARCÍA ORTIZ","TORRES QUINTERO MANZANA 676","NAYARIT","Mon May 09 1994 00:00:00 GMT-0600 (hora estándar central)","C-00557","52","118255.15","Tue Jan 31 2012 00:00:00 GMT-0600 (hora estándar central)"
"561","NICOLÁS PEÑA MÁRQUEZ","EX. HACIENDA SAN CAYETANO MZNA 332","OAXACA","Sat Jan 13 1973 00:00:00 GMT-0600 (hora estándar central)","C-00560","34","100441.66","Tue Jan 31 2012 00:00:00 GMT-0600 (hora estándar central)"
"565","MARCOS ALONSO SÁNCHEZ","MAR JONICO NUM. 564","SINALOA","Mon Jan 23 1984 00:00:00 GMT-0600 (hora estándar central)","C-00564","146","145547.9","Fri Sep 05 2014 00:00:00 GMT-0500 (hora de verano central)"
