"cliente.idcliente","cliente.nombrecliente","cliente.direccion","cliente.estado","cliente.nacimiento"
"7760","CAYO HIDALGO CABALLERO","XICOTENCATL NUM. 752","CHIAPAS","Wed Jul 19 1961 00:00:00 GMT-0600 (hora de verano central)"
"7854","JONATHAN MÉNDEZ RUIZ","CDA DE MINAS NO. 410","SINALOA","Sun Oct 23 1960 00:00:00 GMT-0600 (hora de verano central)"
"7880","ISAÍAS SANZ PEÑA","LAGO BOLSENA MANZANA 110","PUEBLA","Sat Dec 17 1994 00:00:00 GMT-0600 (hora estándar central)"
"7887","JORGE BENÍTEZ MOYA","JOSE MARIA MORELOS MZNA 240","VERACRUZ","Tue Feb 21 1978 00:00:00 GMT-0600 (hora estándar central)"
"7906","EFRÉN JIMÉNEZ MORENO","CENZONTLE NUM. 363","MORELOS","Mon Jun 28 1993 00:00:00 GMT-0600 (hora estándar central)"
"7913","MARIANO DELGADO NÚÑEZ","ANTONIO VALERIANO MZNA 146","DURANGO","Thu Nov 06 1969 00:00:00 GMT-0600 (hora estándar central)"
"7936","MARGARITA DOMÍNGUEZ CABRERA","CERRADA DE CANAL NACIONAL NÚMERO 750","ZACATECAS","Fri Apr 28 1978 00:00:00 GMT-0600 (hora estándar central)"
"8002","ISMAEL LORENZO MOYA","GALDINO H CASADOS NUM. 444","MICHOACÁN","Tue Jan 08 1963 00:00:00 GMT-0600 (hora estándar central)"
"8008","GREGORIO REY MARÍN","AV. ALTILLO NÚMERO 432","CHIHUAHUA","Tue Aug 21 1990 00:00:00 GMT-0600 (hora estándar central)"
"8026","MARTA GÓMEZ CABALLERO","VISTA HERMOSA MZNA 489","TAMAULIPAS","Sun Jan 05 1958 00:00:00 GMT-0600 (hora estándar central)"
"8027","JONATHAN DELGADO CAMPOS","LLUVIA NÚMERO 387","GUERRERO","Sat Mar 12 1960 00:00:00 GMT-0600 (hora estándar central)"
"8069","ROSARIO GIL LORENZO","CALLE 24 NÚMERO 17","ZACATECAS","Wed Dec 08 1971 00:00:00 GMT-0600 (hora estándar central)"
"8082","OSEAS FERRER HERRERO","CALLE MELCHOR OCAMPO NÚMERO 210","AGUASCALIENTES","Sat Apr 26 1969 00:00:00 GMT-0600 (hora de verano central)"
"8102","FABIÁN MUÑOZ HERRERO","VILLA FRATI NÚMERO 108","VERACRUZ","Sat Aug 01 1981 00:00:00 GMT-0600 (hora estándar central)"
"8271","CALIXTO RODRÍGUEZ CARRASCO","ANDADOR PUENTE MONZON MANZANA 142","SONORA","Fri Oct 14 1983 00:00:00 GMT-0600 (hora estándar central)"
"8297","CESÁREO ORTEGA GUERRERO","LAGO MANAGUA MANZANA 462","GUERRERO","Fri Jul 15 1994 00:00:00 GMT-0600 (hora estándar central)"
"8298","TORIBIO DÍAZ BRAVO","AV. UNIVERSIDAD NO. 146","COAHUILA","Mon Mar 14 1977 00:00:00 GMT-0600 (hora estándar central)"
"8370","GUADALUPE GIL DOMÍNGUEZ","IZTACCIHUATL MANZANA 649","TAMAULIPAS","Wed Jun 17 1981 00:00:00 GMT-0600 (hora estándar central)"
"8408","COSME ROMERO DOMÍNGUEZ","AV. ALTILLO NUM. 308","AGUASCALIENTES","Mon Dec 27 1993 00:00:00 GMT-0600 (hora estándar central)"
"8434","LOURDES MORENO ARIAS","FRESNOS NUM. 551","PUEBLA","Fri Jun 20 1975 00:00:00 GMT-0600 (hora estándar central)"
"8445","BERNARDA MORENO PÉREZ","EMILIANO CARRANZA NÚMERO 601","ESTADO DE MÉXICO","Fri Aug 27 1965 00:00:00 GMT-0600 (hora de verano central)"
"8449","CONSTANTINO FERRER REYES","LOMBARDOS NUM. 244","PUEBLA","Thu Jun 22 1972 00:00:00 GMT-0600 (hora estándar central)"
"8599","DOMINGO VARGAS VÁZQUEZ","INDUSTRIA MANUFACTURERA MANZANA 523","BAJA CALIFORNIA","Tue Feb 24 1959 00:00:00 GMT-0600 (hora estándar central)"
"8635","SERGIO CAMPOS FERRER","CALLE 6 MZNA 249","QUERÉTARO","Thu Mar 25 1965 00:00:00 GMT-0600 (hora estándar central)"
"8706","RODRIGO ALONSO ÁLVAREZ","MUNICIPIO LIBRE NUM. 242","CAMPECHE","Mon Jan 19 1970 00:00:00 GMT-0600 (hora estándar central)"
"8875","FAUSTINO PARRA AGUILAR","CENZONTLE NO. 367","OAXACA","Fri Jan 06 1995 00:00:00 GMT-0600 (hora estándar central)"
"8899","ANNA CASTRO SOTO","MARIA ELENA SANDOVAL MZNA 492","HIDALGO","Mon Jun 07 1982 00:00:00 GMT-0600 (hora estándar central)"
"8966","TRINIDAD ORTEGA IBÁÑEZ","ATLETAS MANZANA 534","TABASCO","Fri Jan 27 1995 00:00:00 GMT-0600 (hora estándar central)"
"9021","CELIA ORTEGA CARMONA","PABLO ALVARADO MZNA 369","ZACATECAS","Mon Sep 01 1958 00:00:00 GMT-0600 (hora de verano central)"
"9049","ENRIQUE GUTIÉRREZ RUIZ","1A. CALLE SUR NÚMERO 538","CHIAPAS","Fri Nov 16 1990 00:00:00 GMT-0600 (hora estándar central)"
"9632","IRENEO PASTOR TORRES","PIEDRA CALIZA NUM. 765","ZACATECAS","Wed Jan 26 1972 00:00:00 GMT-0600 (hora estándar central)"
"9655","JUSTINO HERRERA REY","TEPETONGO NÚMERO 574","CHIHUAHUA","Sat Feb 20 1971 00:00:00 GMT-0600 (hora estándar central)"
"9660","HILARIÓN DÍEZ CRESPO","AHUACATL MZNA 770","CHIAPAS","Fri Nov 09 1984 00:00:00 GMT-0600 (hora estándar central)"
"9661","ÁNGELES MORENO HIDALGO","JESUS GARCIA MORALES NO. 208","MORELOS","Mon Oct 12 1959 00:00:00 GMT-0600 (hora de verano central)"
"9728","ALIPIO RUIZ LOZANO","BOULEVARD MALINTZI NUM. 521","CHIAPAS","Tue Jun 14 1988 00:00:00 GMT-0600 (hora estándar central)"
"9730","LEONCIO SÁEZ MÁRQUEZ","TENAYUCA NÚMERO 669","VERACRUZ","Sun Feb 12 1961 00:00:00 GMT-0600 (hora estándar central)"
"9752","ADÁN VIDAL VARGAS","AV. ERMITA NO. 433","QUERÉTARO","Wed Sep 21 1955 00:00:00 GMT-0600 (hora de verano central)"
"9801","FABIOLA NIETO CRESPO","CLAVELES NO. 433","OAXACA","Mon Dec 17 1984 00:00:00 GMT-0600 (hora estándar central)"
"9831","AURORA ROMÁN FLORES","BRUSELAS NÚMERO 515","TLAXCALA","Mon Feb 21 1983 00:00:00 GMT-0600 (hora estándar central)"
"9877","ALEJO NAVARRO LÓPEZ","BALMACEDA NO. 73","OAXACA","Fri Mar 01 1963 00:00:00 GMT-0600 (hora estándar central)"
"9924","CIRINO ARIAS CABALLERO","ARCO IRIS NÚMERO 300","TLAXCALA","Mon Aug 10 1981 00:00:00 GMT-0600 (hora estándar central)"
"9965","RODRIGO CASTRO CAMBIL","CECILIO ROBELO MZNA 540","VERACRUZ","Thu Dec 21 1989 00:00:00 GMT-0600 (hora estándar central)"
"10210","JAUME SÁNCHEZ ORTIZ","HUERTAS NÚMERO 691","JALISCO","Sat Sep 13 1958 00:00:00 GMT-0600 (hora de verano central)"
"10215","NICANOR PEÑA TORRES","CHICARAS MANZANA 720","QUERÉTARO","Sat Feb 07 1987 00:00:00 GMT-0600 (hora estándar central)"
"10387","ANATOLIO ORTIZ CRESPO","BOSQUES DE FELIPE NÚMERO 327","JALISCO","Mon Jan 23 1984 00:00:00 GMT-0600 (hora estándar central)"
"10428","HELIODORO BRAVO VIDAL","2 AVENIDA SUR NUM. 564","TLAXCALA","Fri Apr 13 1990 00:00:00 GMT-0600 (hora estándar central)"
"10499","AITOR GUTIÉRREZ FLORES","MARINO MOSCO NÚMERO 765","CHIHUAHUA","Tue Feb 26 1957 00:00:00 GMT-0600 (hora estándar central)"
"10523","ÁUREA SÁNCHEZ NÚÑEZ","NULL MZNA 317","ESTADO DE MÉXICO","Fri May 22 1970 00:00:00 GMT-0600 (hora estándar central)"
"10561","LAURA PEÑA PARRA","ARRECIFE MANZANA 599","PUEBLA","Sun Feb 18 1968 00:00:00 GMT-0600 (hora estándar central)"
"10569","EUSEBIO MOYA DÍEZ","AV. SONORA NORTE NO. 223","CAMPECHE","Sun Jan 05 1958 00:00:00 GMT-0600 (hora estándar central)"
"10649","ABELARDO ROMÁN FLORES","PRIV. COLORINES NÚMERO 12","GUANAJUATO","Sun Mar 12 1967 00:00:00 GMT-0600 (hora estándar central)"
"10705","NICANOR HERNÁNDEZ ALONSO","16 DE SEPTIEMBRE NO. 795","MICHOACÁN","Wed Nov 22 1995 00:00:00 GMT-0600 (hora estándar central)"
"10756","CONRADO GARRIDO FERNÁNDEZ","BOSQUES DE BOHEMIA NUM. 149","NAYARIT","Mon Dec 25 1995 00:00:00 GMT-0600 (hora estándar central)"
"11073","ABRAHÁN LORENZO CORTÉS","DAVID R. SCOTT NUM. 166","OAXACA","Wed May 09 1990 00:00:00 GMT-0600 (hora estándar central)"
"11089","SAMUEL FLORES LEÓN","RETORNO 9 DE TRONCOSO MANZANA 136","CAMPECHE","Mon Apr 21 1980 00:00:00 GMT-0600 (hora estándar central)"
"11130","NATALIA LÓPEZ BRAVO","TABASCO NO. 151","COAHUILA","Fri Jan 15 1988 00:00:00 GMT-0600 (hora estándar central)"
"11265","VICTORIA SANTIAGO HERRERA","CALLEJON ITURBE MZNA 528","COAHUILA","Tue Feb 09 1988 00:00:00 GMT-0600 (hora estándar central)"
"11305","TADEO MÉNDEZ MARTÍNEZ","LOMA DEL GALLO NÚMERO 138","SONORA","Mon Jan 01 1962 00:00:00 GMT-0600 (hora estándar central)"
"11369","SALOMÓN SÁNCHEZ IBÁÑEZ","NUEVA YORK NÚMERO 749","OAXACA","Mon Jun 07 1976 00:00:00 GMT-0600 (hora estándar central)"
"11412","MIGUEL LEÓN PARRA","TULTEPEC MZNA 523","CAMPECHE","Sun Dec 26 1993 00:00:00 GMT-0600 (hora estándar central)"
"11425","ANASTASIA VARGAS DÍEZ","PLAZUELA 1 DE SAN PEDRO NÚMERO 508","COAHUILA","Sun Apr 05 1959 00:00:00 GMT-0600 (hora estándar central)"
"11459","DAVID SOLER RUBIO","CANAL SECO NO. 242","VERACRUZ","Fri Feb 21 1958 00:00:00 GMT-0600 (hora estándar central)"
"11593","LUZ MARTÍNEZ BLANCO","CHIMALPOPOCA NUM. 134","GUANAJUATO","Sat Mar 06 1976 00:00:00 GMT-0600 (hora estándar central)"
"11663","AMELIA CAMPOS HERNÁNDEZ","HIDALGO NO. 386","GUANAJUATO","Mon Jul 25 1983 00:00:00 GMT-0600 (hora estándar central)"
"11866","ANIANO MEDINA VELASCO","AV PACIFICO MZNA 248","QUERÉTARO","Sun May 14 1961 00:00:00 GMT-0600 (hora de verano central)"
"11979","TORIBIO BLESA GARRIDO","PERUANOS NÚMERO 460","NAYARIT","Sun Feb 28 1954 00:00:00 GMT-0600 (hora estándar central)"
"12017","LAURA SOLER VELASCO","ANDADOR DEL LLANO MANZANA 718","SINALOA","Tue Sep 20 1960 00:00:00 GMT-0600 (hora de verano central)"
"12173","GREGORIO FERRER PASCUAL","PRIVADA FARALLON MZNA 675","AGUASCALIENTES","Sat Sep 19 1981 00:00:00 GMT-0600 (hora estándar central)"
"12340","CLAUDIA TORRES CARMONA","RODOLFO FIERRO MZNA 305","TLAXCALA","Sun Oct 04 1992 00:00:00 GMT-0600 (hora estándar central)"
"12533","HERACLIO AGUILAR ORTIZ","GUIPUZCOA MZNA 419","SONORA","Tue Jul 13 1965 00:00:00 GMT-0600 (hora de verano central)"
"12627","AMARO MEDINA LEÓN","DISTRITO EL PLAN NÚMERO 546","ZACATECAS","Sat Jan 17 1970 00:00:00 GMT-0600 (hora estándar central)"
"12640","HUGO SÁNCHEZ RUBIO","LABORISTAS NÚMERO 93","TABASCO","Sun May 26 1985 00:00:00 GMT-0600 (hora estándar central)"
"12729","ALBINA CABALLERO GONZÁLEZ","PIEDRA CALIZA NUM. 115","AGUASCALIENTES","Sun Mar 05 1961 00:00:00 GMT-0600 (hora estándar central)"
"12780","HELIODORO FERRER PEÑA","EL ROSARIO NÚMERO 368","ESTADO DE MÉXICO","Fri Aug 08 1975 00:00:00 GMT-0600 (hora estándar central)"
"13042","BORJA REYES CASTILLO","BALVANERA MANZANA 390","QUERÉTARO","Fri May 20 1983 00:00:00 GMT-0600 (hora estándar central)"
"13196","AMBROSIO HERNÁNDEZ GIL","CALLE FLORES MAGON NO. 598","AGUASCALIENTES","Wed Sep 23 1970 00:00:00 GMT-0600 (hora estándar central)"
"13208","LUIS REY BENÍTEZ","PLAYA HORNOS NO. 402","AGUASCALIENTES","Mon Mar 24 1969 00:00:00 GMT-0600 (hora estándar central)"
"13225","ALONSO IGLESIAS SOLER","NORTE 74 MZNA 783","GUERRERO","Tue Nov 20 1990 00:00:00 GMT-0600 (hora estándar central)"
"13239","JORGE MORA PÉREZ","VALLE PASSOS NUM. 767","YUCATÁN","Wed Dec 21 1988 00:00:00 GMT-0600 (hora estándar central)"
"13315","SANSÓN GIMÉNEZ BRAVO","MONTE ALBAN NUM. 507","HIDALGO","Sat Oct 15 1966 00:00:00 GMT-0600 (hora de verano central)"
"13355","ADOLFO GARRIDO CASTRO","CERRO DE LOS GAVILANES MANZANA 583","TAMAULIPAS","Thu Aug 02 1962 00:00:00 GMT-0600 (hora de verano central)"
"13394","LUCRECIA PARRA LEÓN","VICTORIANO SALADO ALVAREZ NÚMERO 303","NUEVO LEÓN","Tue Feb 09 1971 00:00:00 GMT-0600 (hora estándar central)"
"13478","DEMÓCRITO RAMOS MÉNDEZ","PRL. MOCTEZUMA MANZANA 557","TLAXCALA","Mon Dec 03 1973 00:00:00 GMT-0600 (hora estándar central)"
"13533","ANSELMO MOYA IBÁÑEZ","ARTEMISAS NUM. 697","CAMPECHE","Fri Mar 19 1971 00:00:00 GMT-0600 (hora estándar central)"
"13605","PAULA MONTERO LEÓN","FERRARA NUM. 394","SAN LUIS POTOSÍ","Sat Apr 20 1974 00:00:00 GMT-0600 (hora estándar central)"
"13625","ALBERT ROMÁN MORALES","AV LAS TORRES NUM. 96","TABASCO","Tue May 17 1977 00:00:00 GMT-0600 (hora estándar central)"
"13666","GUIDO GÓMEZ MONTORO","LERDO MANZANA 94","CDMX","Wed Oct 10 1979 00:00:00 GMT-0600 (hora estándar central)"
"13667","PORFIRIO RODRÍGUEZ VELASCO","3ERA. CERRADA DE COPAL NÚMERO 160","GUERRERO","Tue Dec 20 1960 00:00:00 GMT-0600 (hora estándar central)"
"13736","CLEOFÁS MARÍN MORA","PRIVADA EXHACIENDA DE LA ESCALERA MANZANA 584","TAMAULIPAS","Sun Mar 19 1989 00:00:00 GMT-0600 (hora estándar central)"
"14026","AURELIA BENÍTEZ CRUZ","HOPELCHEN NÚMERO 53","VERACRUZ","Wed Aug 03 1960 00:00:00 GMT-0600 (hora de verano central)"
"14038","ZACARÍAS MONTERO MONTERO","CIRCUITO PLAZA DE LA PAJA MZNA 758","CHIHUAHUA","Sun Nov 22 1992 00:00:00 GMT-0600 (hora estándar central)"
"14155","DÁMASO DURÁN GÓMEZ","ALFONSO XIII MZNA 742","CDMX","Tue Feb 15 1994 00:00:00 GMT-0600 (hora estándar central)"
"14186","MAURICIO PARRA LORENZO","FRESNO NO. 61","YUCATÁN","Sun Feb 14 1988 00:00:00 GMT-0600 (hora estándar central)"
"14317","HONORATO MARÍN HERRERA","IZTACCIHUATL NO. 86","AGUASCALIENTES","Mon Jan 25 1982 00:00:00 GMT-0600 (hora estándar central)"
"14370","PONCIO VICENTE ARIAS","HOMBRES ILUSTRES NUM. 648","OAXACA","Tue Apr 14 1959 00:00:00 GMT-0600 (hora de verano central)"
"14377","ANDREA MOYA SERRANO","CALLE 8 NUM. 164","ESTADO DE MÉXICO","Wed Mar 05 1986 00:00:00 GMT-0600 (hora estándar central)"
"14385","AURELIA PARRA PÉREZ","CERRADA JORGE ROJO LUGO NO. 247","SAN LUIS POTOSÍ","Fri Jul 10 1981 00:00:00 GMT-0600 (hora estándar central)"
"14552","CONRADO CANO LOZANO","GARDENIAS NO. 184","MORELOS","Fri Sep 16 1966 00:00:00 GMT-0600 (hora de verano central)"
"14576","CAYETANO ORTIZ CORTÉS","CERRADA DE CUAUHTEMOC NUM. 766","VERACRUZ","Sat Oct 05 1991 00:00:00 GMT-0600 (hora estándar central)"
"14577","GREGORIO GIL VICENTE","GUERRERO NUM. 154","MORELOS","Sat May 27 1995 00:00:00 GMT-0600 (hora estándar central)"
"14598","RODRIGO REYES ORTEGA","AV. NACIONES UNIDAS MZNA 403","PUEBLA","Sun Aug 20 1961 00:00:00 GMT-0600 (hora de verano central)"
"14649","GONZALO GIMÉNEZ SOTO","FRANCISCO SARABIA NUM. 779","COAHUILA","Sat Apr 14 1990 00:00:00 GMT-0600 (hora estándar central)"
"14733","JULIÁN PARRA CAMPOS","EMILIANO CARRANZA NUM. 400","GUERRERO","Tue Jul 23 1963 00:00:00 GMT-0600 (hora de verano central)"
"14745","ONÉSIMO SANZ SOTO","EMILIO LAURENT NO. 228","HIDALGO","Thu Nov 04 1954 00:00:00 GMT-0600 (hora estándar central)"
"14774","GERTRUDIS CABALLERO CORTÉS","1A. CALLE SUR NUM. 135","CDMX","Fri Nov 01 1991 00:00:00 GMT-0600 (hora estándar central)"
"14836","JERÓNIMO VEGA ARIAS","ALCANFORES MZNA 82","SAN LUIS POTOSÍ","Tue Sep 01 1970 00:00:00 GMT-0600 (hora estándar central)"
"14852","JERÓNIMO HERRERO VEGA","VELAZQUEZ DE LEON NUM. 578","CHIAPAS","Tue Oct 23 1962 00:00:00 GMT-0600 (hora de verano central)"
"14869","ANDREA RUBIO MARTÍN","CJON.TEZONTLICPAC NUM. 41","NUEVO LEÓN","Mon Apr 15 1974 00:00:00 GMT-0600 (hora estándar central)"
"14915","HELIODORO CARRASCO ORTIZ","ZEMPOALTEPETL MZNA 518","GUANAJUATO","Sat Dec 06 1980 00:00:00 GMT-0600 (hora estándar central)"
"15000","AMELIA LOZANO REY","CERRO DE LAS PALOMAS NO. 109","CHIAPAS","Fri Dec 27 1985 00:00:00 GMT-0600 (hora estándar central)"
"15014","JOAQUÍN LOZANO AGUILAR","CAMINO REAL AL AJUSCO NÚMERO 152","JALISCO","Thu May 25 1995 00:00:00 GMT-0600 (hora estándar central)"
"15066","CECILIA RUIZ IBÁÑEZ","AV. CASTILLO DE CHAPULTEPEC NO. 262","PUEBLA","Sat Apr 06 1974 00:00:00 GMT-0600 (hora estándar central)"
"15273","RIGOBERTO ORTIZ VIDAL","PLZAS. VILLA DE MADRID NUM. 656","COAHUILA","Wed Oct 02 1963 00:00:00 GMT-0600 (hora de verano central)"
"15282","NATALIA ORTIZ VARGAS","NEZAHUALCOYOTL NO. 763","HIDALGO","Sun Feb 20 1966 00:00:00 GMT-0600 (hora estándar central)"
"15304","BELÉN FUENTES VIDAL","NATIVITAS MZNA 80","GUANAJUATO","Fri Aug 13 1965 00:00:00 GMT-0600 (hora de verano central)"
"15347","ÚRSULA BRAVO ALONSO","SN. CIPRIAN NUM. 321","HIDALGO","Fri May 15 1959 00:00:00 GMT-0600 (hora de verano central)"
"15350","CLOTILDE SÁNCHEZ CAMPOS","LICENCIADO VERDAD NÚMERO 191","MORELOS","Mon Apr 22 1957 00:00:00 GMT-0600 (hora de verano central)"
"394","HÉCTOR CABRERA VÁZQUEZ","SALTO DEL AGUA NÚMERO 14","JALISCO","Mon Mar 09 1964 00:00:00 GMT-0600 (hora estándar central)"
"423","ANNA VELASCO ESTEBAN","LA VENTA CLAUSTRO TULIPANES MZNA 321","CHIAPAS","Wed Apr 13 1983 00:00:00 GMT-0600 (hora estándar central)"
"465","AARÓN VIDAL GARRIDO","SEBASTIAN L TEJADA MANZANA 284","QUERÉTARO","Thu Nov 17 1983 00:00:00 GMT-0600 (hora estándar central)"
"511","CATALINA VELASCO GONZÁLEZ","VILLA DE CUITLAHUAC MZNA 418","ZACATECAS","Wed Aug 03 1988 00:00:00 GMT-0600 (hora estándar central)"
"659","MARC GALLEGO PÉREZ","FRESA NO. 134","HIDALGO","Mon Apr 21 1969 00:00:00 GMT-0600 (hora de verano central)"
"709","SUSANA BLESA TORRES","ADRIAN BROWER NO. 53","DURANGO","Sun Aug 28 1988 00:00:00 GMT-0600 (hora estándar central)"
"862","ESTHER DURÁN SÁEZ","DR ARCE NO. 668","CAMPECHE","Thu Dec 26 1991 00:00:00 GMT-0600 (hora estándar central)"
"932","JORDI GARCÍA HERNÁNDEZ","AV MEXICO MZNA 361","CAMPECHE","Wed Mar 13 1957 00:00:00 GMT-0600 (hora estándar central)"
"998","GONZALO PARRA PASTOR","CDA. MANZANO NUM. 396","NUEVO LEÓN","Wed May 14 1958 00:00:00 GMT-0600 (hora de verano central)"
"1004","EZEQUIEL PASTOR ARIAS","FERRARA NÚMERO 225","BAJA CALIFORNIA","Sat Nov 16 1991 00:00:00 GMT-0600 (hora estándar central)"
"1035","ANTONIO CASTRO GALLARDO","PATRICIO SANZ NUM. 368","GUANAJUATO","Tue Jul 21 1959 00:00:00 GMT-0600 (hora de verano central)"
"1048","BERNARDA LÓPEZ CAMBIL","LABORISTAS MZNA 737","OAXACA","Mon Oct 24 1966 00:00:00 GMT-0600 (hora de verano central)"
"1099","IVÁN FERNÁNDEZ ESTEBAN","CARRETERA COSTERA NUM. 361","SONORA","Wed Sep 06 1995 00:00:00 GMT-0600 (hora estándar central)"
"1193","LADISLAO BLANCO VEGA","16 DE SEPTIEMBRE NÚMERO 208","DURANGO","Thu Jun 17 1982 00:00:00 GMT-0600 (hora estándar central)"
"1237","CATALINA VELASCO FERNÁNDEZ","TENAYUCA NUM. 476","PUEBLA","Thu Oct 28 1971 00:00:00 GMT-0600 (hora estándar central)"
"1409","RAMIRO SERRANO GÓMEZ","JOSEFA ORTIZ DE DOMINGUEZ NO. 746","HIDALGO","Mon May 03 1976 00:00:00 GMT-0600 (hora estándar central)"
"1444","MARC RAMÍREZ MÁRQUEZ","ANDADOR PUENTE MONZON MZNA 699","CDMX","Wed Mar 14 1990 00:00:00 GMT-0600 (hora estándar central)"
"1485","DÁMASO DÍEZ PÉREZ","ANDADOR DEL LLANO NÚMERO 513","NUEVO LEÓN","Wed May 28 1975 00:00:00 GMT-0600 (hora estándar central)"
"1492","GUZMÁN GALLEGO HERRERA","MANUEL PELAEZ MANZANA 620","OAXACA","Sat Sep 28 1991 00:00:00 GMT-0600 (hora estándar central)"
"1575","CEFERINO ALONSO DOMÍNGUEZ","BARRANCA NO. 769","BAJA CALIFORNIA","Sun Nov 03 1957 00:00:00 GMT-0600 (hora estándar central)"
"1578","CLAUDIA SÁNCHEZ JIMÉNEZ","IGNACIO L. VALLARTA NUM. 224","MICHOACÁN","Thu Jun 21 1962 00:00:00 GMT-0600 (hora de verano central)"
"1757","AQUILES RODRÍGUEZ CASTRO","ROMULO O FARRIL NÚMERO 665","MICHOACÁN","Wed Mar 09 1977 00:00:00 GMT-0600 (hora estándar central)"
"1774","BRUNO GUTIÉRREZ RUIZ","BARRANCA NO. 617","CDMX","Wed Dec 19 1979 00:00:00 GMT-0600 (hora estándar central)"
"1806","NATALIA SÁNCHEZ REY","TLACOTAL NO. 219","PUEBLA","Tue Jan 21 1964 00:00:00 GMT-0600 (hora estándar central)"
"1850","MONTSERRAT RAMOS ARIAS","MONROVIA NO. 799","CHIHUAHUA","Tue Jun 20 1961 00:00:00 GMT-0600 (hora de verano central)"
"1865","AGUSTÍN CASTRO NIETO","TOTONACAS MZNA 175","OAXACA","Sun Sep 13 1981 00:00:00 GMT-0600 (hora estándar central)"
"1909","PRIMO CALVO PÉREZ","CRUZ VERDE NO. 323","JALISCO","Wed Oct 27 1982 00:00:00 GMT-0600 (hora estándar central)"
"1916","VICTORIA SÁNCHEZ GARCÍA","PLAYA HORNOS NUM. 563","OAXACA","Mon May 19 1986 00:00:00 GMT-0600 (hora estándar central)"
"2070","LINO MÁRQUEZ VICENTE","CALLE PETIRROJO NO. 101","TLAXCALA","Thu Feb 04 1993 00:00:00 GMT-0600 (hora estándar central)"
"2106","DEMÓCRITO HERRERO CANO","EL ROSARIO MANZANA 528","NAYARIT","Mon May 25 1992 00:00:00 GMT-0600 (hora estándar central)"
"2198","ANTERO MUÑOZ CABALLERO","FRESNOS NO. 512","GUERRERO","Sat Jul 16 1994 00:00:00 GMT-0600 (hora estándar central)"
"2210","CONSUELO CARRASCO MOLINA","CERRADA DE CUAUHTEMOC NÚMERO 460","QUINTANA ROO","Sat Jan 21 1995 00:00:00 GMT-0600 (hora estándar central)"
