"cuenta.numcta","cuenta.numsucursal","cuenta.saldo","cuenta.fecha"
"C-00262","154","34454.66","Tue Jun 25 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00264","89","28089.49","Mon Apr 08 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00272","142","50099.37","Mon Nov 11 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00274","169","15512.9","Thu Mar 27 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00280","146","25530.18","Sun Dec 09 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00287","142","54039.74","Sun May 05 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00288","22","63789.81","Fri Nov 01 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00292","64","12275.02","Sun Aug 19 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00294","20","142390.4","Wed Apr 04 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00311","64","9706.76","Tue Nov 18 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00313","4","90069.79","Sun May 06 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00323","152","14904.77","Mon Jul 08 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00328","141","69001.2","Mon Mar 05 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00336","165","126948.22","Mon Nov 17 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00339","169","95090.31","Wed Jul 17 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00364","148","97461.29","Sat Mar 02 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00369","25","144556.5","Sat Nov 10 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00370","101","146254.23","Thu Feb 27 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00377","70","100699.88","Sat Jul 26 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00381","66","122811.76","Sun May 12 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00386","16","127271.44","Tue Apr 03 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00389","68","46952.3","Thu Aug 15 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00392","51","93273.49","Mon Nov 17 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00394","34","54791.82","Thu Apr 17 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00399","148","93735.57","Wed Mar 26 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00408","4","108810.45","Mon Apr 15 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00417","89","17652.01","Fri Jul 11 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00423","37","51555.64","Fri Apr 18 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00425","34","145067.77","Sun Mar 25 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00430","169","81973.43","Thu Dec 06 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00434","66","68958","Thu Mar 06 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00445","4","134220.02","Sun Oct 05 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00449","20","75616.71","Mon Jun 24 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00459","16","2116.1","Fri Mar 07 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00464","64","132217.98","Mon Jun 02 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00465","121","42444.64","Wed Jun 20 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00468","34","65187.18","Sun Sep 09 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00472","4","51365.69","Sun Feb 05 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00473","73","131619.83","Thu Dec 27 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00474","51","76370.03","Mon Aug 05 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00476","142","121239.36","Fri Jul 18 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00481","70","75761.8","Mon Aug 27 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00482","85","126709.03","Sun Mar 30 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00488","37","44587.24","Sun Jul 01 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00490","187","40399","Fri Jul 18 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00491","126","121466.37","Thu May 17 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00493","85","31382.6","Fri Oct 04 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00494","16","128520.97","Tue Jul 09 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00496","126","135734.47","Thu Sep 06 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00498","20","39164.01","Wed Nov 14 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00499","26","68356.41","Thu Nov 22 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00507","89","111137.56","Thu Apr 18 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00510","187","109823.91","Sat May 17 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00514","121","132520.92","Mon Mar 10 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00523","23","15783.25","Thu Sep 26 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00525","119","95783.68","Tue May 14 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00534","20","117224.94","Sat Nov 15 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00536","52","52879.8","Sat Jul 05 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00538","70","109221.54","Tue Mar 05 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00539","34","40976.53","Fri May 17 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00546","85","92780.1","Sat Oct 13 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00555","121","140250.94","Thu Jun 27 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00557","52","118255.15","Tue Jan 31 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00560","34","100441.66","Tue Jan 31 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00564","146","145547.9","Fri Sep 05 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00573","121","15236.21","Mon Jan 13 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00576","92","142770.65","Wed Apr 18 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00577","22","78529.18","Fri Dec 20 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00594","121","44198.24","Sat Oct 05 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00600","125","25363.86","Sun Jul 13 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00610","187","69568.33","Mon Aug 25 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00618","22","126113.1","Sun Mar 10 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00629","153","146314.47","Tue Sep 09 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00630","169","98191.92","Thu Nov 01 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00637","65","8742.72","Thu Jul 17 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00639","165","57215.12","Wed May 30 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00640","64","57306.4","Wed Oct 15 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00642","70","118973.44","Thu May 23 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00645","20","20704.46","Thu Nov 21 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00650","148","145159.42","Thu Jan 16 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00653","68","10420.84","Wed Oct 29 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00656","4","29803.96","Tue Jan 03 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00658","187","64733.09","Thu Jun 19 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00664","142","95428.58","Sun Dec 30 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00674","51","47952.94","Mon Mar 31 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00685","153","118867.87","Sat Dec 22 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00686","65","12864.2","Sun Jan 15 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00691","65","148872.02","Wed Dec 17 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00693","142","57794.14","Sat Jun 08 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00694","25","114883.43","Fri Oct 04 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00696","68","81900.68","Sat Oct 04 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00701","26","78627.86","Wed Sep 17 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00703","153","114405.87","Wed Oct 03 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00708","66","122544.24","Sat Apr 19 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00713","101","54823.96","Tue Jan 22 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00719","146","140666.74","Sun Apr 15 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00724","70","101402.54","Wed Jan 16 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00731","74","56328.23","Sun May 06 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00734","22","144260.99","Fri Aug 31 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00745","169","136705.34","Tue Oct 16 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00748","26","147314.81","Fri Feb 17 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00750","154","53871.73","Thu Apr 26 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00758","20","118115.22","Mon Mar 25 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00759","26","7593.52","Thu Aug 02 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00760","20","61808.75","Fri Sep 27 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00769","23","29977.65","Mon Jul 30 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00781","22","78672.9","Mon Dec 03 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00788","153","141841.31","Sun Sep 21 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00793","152","33500.97","Fri Jun 15 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00810","125","93250.49","Thu Dec 04 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00815","70","69939.05","Fri Sep 28 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00825","4","144585.82","Mon Nov 19 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00827","153","78613.08","Mon Oct 29 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00833","121","128658.15","Sat Jun 02 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00834","16","148331.33","Sun Jul 29 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00837","85","114344.11","Sun Apr 15 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00839","52","53365.13","Thu Dec 11 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00840","68","130182.74","Sat Jun 30 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00843","154","32077.07","Sat Jun 29 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00845","73","145321.71","Sat Nov 30 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00846","148","137946.71","Thu Mar 14 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00853","4","97434.99","Tue May 21 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00861","152","90641.7","Tue May 27 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00868","119","91477.47","Tue Jan 28 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00872","169","72016.66","Sat Mar 15 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00877","165","88815.16","Mon Jul 23 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00891","65","129814.09","Fri Feb 22 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00892","52","93715.95","Tue Aug 19 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00893","73","18098.78","Sun Nov 18 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00894","101","117281.22","Sun Nov 17 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00904","65","141288.07","Tue Jul 09 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00905","141","102749.34","Mon Apr 08 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00921","70","69066.7","Wed Feb 27 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00924","146","90179.59","Fri Jun 29 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00931","74","124876.63","Sat Apr 26 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-00940","169","46203.37","Mon Jun 17 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00941","119","110679.4","Tue Nov 18 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00945","142","63647.75","Wed Mar 13 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-00946","119","64492.32","Wed Jul 17 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-00949","51","143213.91","Fri Feb 21 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00954","92","99762.44","Mon Jan 06 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-00962","22","56112.37","Mon Jun 18 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-00970","37","45636.48","Sat Nov 17 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00984","101","62809.63","Wed Jan 04 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-00997","74","73771","Fri Jun 13 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01003","148","142808.22","Wed May 14 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01007","187","16713.57","Mon May 21 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-01017","152","18275.95","Thu Dec 04 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01025","146","100675.9","Wed Feb 20 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-01033","64","47660.06","Sat Feb 01 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01034","126","114603.56","Sat Apr 26 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01036","146","14337.73","Thu Aug 16 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-01047","153","143929.5","Wed Jun 04 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01055","52","71257.87","Sun Dec 14 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01065","51","70744.41","Sun Apr 14 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01072","142","1306.45","Tue Nov 11 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01080","119","69865.98","Fri Jun 07 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01081","126","54908.73","Mon Jun 10 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01093","51","2405.24","Mon Aug 13 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-01098","51","88259.11","Thu May 22 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01126","37","101938.76","Fri Jan 24 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01127","52","134990.31","Wed Aug 13 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01136","148","30281.51","Wed Aug 20 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01138","169","150103.5","Thu Nov 01 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-01150","64","4561.21","Wed Jan 25 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-01151","26","13812.87","Sat Feb 23 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-01152","16","92684.89","Tue May 28 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01158","25","61443.14","Wed Mar 21 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-01167","22","77139.14","Sun Nov 18 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-01171","73","65225.64","Wed Oct 22 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01186","52","140249.51","Wed Sep 25 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01192","154","57113.88","Sat Jun 14 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01194","146","140901.1","Fri Nov 08 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-01196","187","93252.06","Wed Jun 26 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01197","22","113042.36","Sat Jan 07 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-01200","64","105340.87","Wed Nov 27 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-01203","20","42449.83","Fri Feb 10 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-01207","141","26492.75","Tue Apr 24 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-01208","85","90821.36","Sat Jul 06 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01211","66","150290.39","Sat Mar 24 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-01213","4","56118.61","Fri Jun 01 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-01216","148","104202.49","Fri Jun 29 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-01227","169","85237.31","Tue Sep 02 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01228","146","14442.88","Sun May 05 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01232","74","136768.65","Sun Nov 30 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01234","20","126133.21","Sat Jan 05 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-01236","23","126774.42","Thu Jun 26 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01245","126","31817.73","Sat Jun 29 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01249","20","88429.74","Wed Sep 05 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-01251","34","80021.33","Sat Aug 11 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-01267","25","95636.47","Wed Feb 20 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-01277","74","54523.41","Mon Jul 08 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01282","89","16239.57","Fri Nov 14 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01283","51","33664.22","Tue Mar 20 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-01286","66","132802.78","Sat Aug 03 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01290","153","135882.44","Sat Mar 10 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-01294","148","112316.98","Mon Jan 09 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-01296","125","136430.46","Fri May 24 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01299","165","72483.95","Thu Oct 11 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-01301","23","47569.35","Sat Jan 14 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-01308","23","85099.51","Sun Jul 06 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01313","73","95626.84","Mon May 27 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01314","4","34557.09","Sun Dec 28 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01316","68","143218.77","Fri Oct 25 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01338","154","94370.31","Mon Feb 10 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01360","70","76654.39","Sun Jun 17 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-01361","101","114364.46","Sun Dec 29 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-01375","141","21993.4","Sun Mar 16 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01377","121","11442.27","Mon Oct 22 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-01388","52","97864.67","Mon Jun 03 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01397","4","147550.51","Tue Feb 05 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-01402","142","122158.2","Tue Mar 27 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-01408","51","62019.13","Mon Apr 21 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01409","89","13036.47","Mon Apr 29 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01414","4","43960.58","Sat Dec 28 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-01422","22","127858.31","Sat Jul 06 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01437","154","149013.94","Thu Jan 03 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-01439","65","3686.02","Mon Apr 22 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01443","141","27864.9","Thu Apr 24 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01467","22","52575.79","Sun Sep 08 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01470","187","79718.26","Tue Nov 04 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01477","70","112196.85","Sat Jul 26 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01479","146","79239.49","Thu Nov 14 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-01481","20","86108.13","Wed Feb 06 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-01484","74","26159.56","Sun May 11 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01488","92","141750.04","Sun Feb 02 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01490","169","61976.64","Wed Feb 08 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-01491","25","99028.6","Thu Apr 03 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01494","52","111479.73","Fri Mar 14 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01497","68","12356.67","Thu Dec 12 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-01506","153","139798.59","Wed Mar 05 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01513","20","142033.76","Wed Feb 05 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01519","142","11068.22","Thu Jan 12 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-01520","165","133275.89","Sun Jul 15 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-01523","51","111791.22","Mon Dec 01 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01525","73","97497.64","Sun Sep 29 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01527","119","115384.79","Fri Nov 08 2013 00:00:00 GMT-0600 (hora estándar central)"
"C-01542","152","44874.98","Mon Oct 08 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-01543","65","149844.45","Wed Sep 18 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01555","16","18390.53","Wed Aug 08 2012 00:00:00 GMT-0500 (hora de verano central)"
"C-01559","16","55727.65","Sun Apr 28 2013 00:00:00 GMT-0500 (hora de verano central)"
"C-01573","152","56677.72","Mon Nov 19 2012 00:00:00 GMT-0600 (hora estándar central)"
"C-01574","169","110844.75","Fri May 16 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01577","51","82453.99","Mon Jun 09 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01579","26","92656.35","Thu Oct 16 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01585","25","44499.04","Sat Dec 20 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01589","68","111778.54","Tue Aug 19 2014 00:00:00 GMT-0500 (hora de verano central)"
"C-01595","16","142620.9","Sun Feb 16 2014 00:00:00 GMT-0600 (hora estándar central)"
"C-01599","73","102954.33","Wed Jul 25 2012 00:00:00 GMT-0500 (hora de verano central)"
